nr_topics,coherence,perplexity
5,0.4772452924571072,-6.959069673660524
6,0.46638772964193337,-6.962133586828883
7,0.493929278813188,-6.945267875655745
8,0.5184522310344942,-6.9371839472836605
9,0.5567375558933398,-6.934171990514398
10,0.5236442569583878,-6.965479145338869
11,0.5759080292380583,-6.971490187931377
12,0.5655875458464623,-6.992828721435553
13,0.5663916309351686,-6.993165061338162
14,0.5699819595268246,-6.99968937541126
15,0.5635709667837097,-7.010924988413873
